"id","subdistrict_id","postcode"
"1333","817","16917"
"1334","817","16918"
"1340","818","16730"
"1341","819","16840"
"1342","820","16720"
"1343","821","16620"
"1344","822","16630"
"1345","823","16660"
"1346","824","16740"
"1347","825","16820"
"1348","826","16610"
"1349","827","16750"
"1350","828","16810"
"1351","829","16680"
"1352","830","16340"
"1353","831","16670"
"1354","832","16830"
"1355","833","16640"
"1356","834","16770"
"1357","835","16650"
"1358","836","16330"
"1359","837","16360"
"1360","838","16350"
"1361","839","16370"
"1362","840","16810"
"1363","841","16920"
"1366","841","16921"
"1364","841","16922"
"1365","841","16923"
"1367","842","16110"
"1368","842","16119"
"1369","843","16120"
"1370","844","16310"
"1371","845","16710"
"1372","846","16640"
"1373","847","16810"
"1374","848","16310"
"1375","849","16660"
"1376","850","16830"
"1377","851","16710"
"1378","852","16320"
"1379","853","16610"
"1380","854","16840"
"1381","855","16370"
"1388","856","16960"
"1387","856","16961"
"1390","856","16962"
"1383","856","16963"
"1385","856","16964"
"1391","856","16965"
"1386","856","16966"
"1389","856","16967"
"1384","856","16968"
"1382","856","16969"
"1393","857","75271"
"1396","857","75273"
"1392","857","75274"
"1395","857","75276"
"1397","857","75277"
"1394","857","75279"
"1398","858","76131"
"1399","858","76132"
"1400","858","76133"
"1401","858","76134"
"1402","859","76114"
"1403","859","76115"
"1404","860","76121"
"1405","860","76122"
"1406","860","76123"
"1407","860","76124"
"1409","861","76116"
"1408","861","76117"
"1410","861","76118"
"1413","862","76125"
"1415","862","76127"
"1414","862","76128"
"1412","862","76129"
"1411","862","76136"
"1419","863","75261"
"1422","863","75262"
"1417","863","75263"
"1418","863","75264"
"1416","863","75265"
"1421","863","75266"
"1420","863","75267"
"1426","864","76111"
"1425","864","76112"
"1424","864","76113"
"1423","864","76114"
"1427","865","76131"
"1428","866","76251"
"1429","867","76252"
"1430","868","76281"
"1431","869","76283"
"1432","870","76282"
"1433","871","76253"
"1434","872","76271"
"1435","873","76261"
"1436","874","76261"
"1437","875","76252"
"1440","876","77311"
"1438","876","77312"
"1439","876","77315"
"1441","877","77373"
"1442","878","77352"
"1443","879","77362"
"1444","880","77381"
"1445","881","77371"
"1446","882","77361"
"1447","883","77372"
"1448","884","77381"
"1450","885","77313"
"1451","885","77315"
"1449","885","77352"
"1452","886","77372"
"1454","887","77372"
"1453","887","77373"
"1455","888","77372"
"1456","889","76141"
"1461","889","76142"
"1459","889","76143"
"1457","889","76144"
"1458","889","76145"
"1460","889","76146"
"1462","890","76284"
"1463","891","76285"
"1466","892","76146"
"1464","892","76147"
"1465","892","76148"
"1467","892","76149"
"1468","893","75313"
"1469","893","75383"
"1472","894","75321"
"1471","894","75324"
"1470","894","75325"
"1473","895","75311"
"1474","895","75312"
"1475","895","75314"
"1476","896","75683"
"1477","897","75654"
"1478","898","75618"
"1479","899","75556"
"1480","900","75618"
"1481","901","75684"
"1482","902","75619"
"1483","903","75555"
"1485","904","75654"
"1484","904","75656"
"1487","905","75556"
"1486","905","75656"
"1488","906","75654"
"1489","907","75655"
"1490","908","75683"
